Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Non-Invasive Glucose Monitoring Using PPG, AI, and IoT-Driven Mobile Integration for Real-Time Diabetes Management",A. K. Refaie; M. Abdelaziz,"Mechatronics & Robotics Mechanical Engineering, Cairo, Egypt; Mechatronics & Robotics Mechanical Engineering, Cairo, Egypt",2024 International Conference on Computer and Applications (ICCA),26-Mar-25,2024,,,1,5,"Diabetes mellitus patients must regularly monitor their blood glucose levels to manage glycaemia, typically requiring capillary tests at least three times daily and laboratory tests one to two times per month. These conventional methods involve finger pricking, causing significant discomfort and stress. This study introduces an innovative non-invasive glucose monitoring approach by integrating photoplethysmography (PPG) technology with an artificial intelligence (AI) algorithm, complemented by a mobile application using Flutter, IoT systems, and Firebase cloud for real-time data access. Among the AI models tested, polynomial regression demonstrated superior accuracy in glucose prediction, achieving a Mean Squared Error (MSE) of 14.76 and an R2 score of 0.729. Despite challenges such as motion artifacts and ambient light interference affecting PPG signals, the system provides an advanced, user-friendly solution for patients and healthcare teams to monitor glucose levels effectively and conveniently.",,979-8-3503-6756-0,10.1109/ICCA62237.2024.10927774,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927774,internet of things;non-invasive glucose monitoring;Cloud-based Healthcare;Diabetes management;Photoplethysmography (PPG),Cloud computing;Medical services;Photoplethysmography;Real-time systems;Polynomials;Glucose;Diabetes;Artificial intelligence;Biomedical monitoring;Monitoring,,,,16,IEEE,26-Mar-25,,,IEEE,IEEE Conferences
Non-Invasive Blood Glucose Monitoring Using a Photo Detector-Based Approach: A Promising Alternative for Diabetes Management,S. M. Hussain; T. Naz; M. F. Anjum; M. S. Orakzai; J. Iqbal; F. Akram,"Biomedical Engineering Department, Riphah International University, Islamabad, Pakistan; Department of Biomedical Engnieering Technology, Foundation University School of Science and Technology, Rawalpindi, Pakistan; Biomedical Engineering Department, Riphah International University, Islamabad, Pakistan; Electrical Engineering Department, Riphah International University, Islamabad, Pakistan; Faculty of Computing Department, Riphah International University, Islamabad, Pakistan; Biomedical Engineering Department, Riphah International University, Islamabad, Pakistan",2023 20th International Bhurban Conference on Applied Sciences and Technology (IBCAST),17-Oct-24,2023,,,793,796,"Diabetes mellitus usually known as diabetes has been an active issue for a long period. Monitoring of Blood glucose levels is one of the important physiological information for medical professionals. Non-invasive detection of blood glucose levels is necessary for monitoring and managing diabetes and reducing the need for frequent finger pricks as invasive methods. Non-invasive measurement of blood glucose provides a convenient and pain-free alternative to traditional invasive methods. The traditional methods require pricking of the finger for taking blood samples and calibration for proper results. Non-calibrated devices can lead to faulty results. In this study, a photo detector-based approach is used to measure the blood glucose level. The system is based on a photodetector sensor that detects the changes in light absorption caused by variations in blood glucose levels. In this study, we performed experiments on two sets of groups, one with normal and the other with fasting state to compare the invasive and non-invasive values of glucose in different subjects to make a standard non-invasive glucometer system. The evaluation was conducted on a group of participants before and after the ingestion of glucose during the procedure. The sensor was placed superficially on the fingertip to acquire the photoplethysmography signal along with the traditional measurement method for reference blood glucose values. The MATLAB-based algorithm has been designed to further filter and process the signal and measure the blood glucose level. The results indicate a strong correlation between photoplethysmography detector-based measurement and the reference blood glucose levels. The non-invasive method exhibited promising accuracy and reliability in estimating blood glucose concentrations. The proposed approach provides a non-invasive measurement of blood glucose level which improves the quality of life for individuals with diabetes.",2151-1411,979-8-3503-0825-9,10.1109/IBCAST59916.2023.10712978,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10712978,Photo detector based glucometer;optical glucometer;Blood sugar diabetes mellitus;noninvasive glucose measure,Correlation;Atmospheric measurements;Fingers;Particle measurements;Photoplethysmography;Glucose;Diabetes;Reliability;Blood;Monitoring,,,,16,IEEE,17-Oct-24,,,IEEE,IEEE Conferences
PPG and NIR-based noninvasive continuous glucose and heart rate monitoring system,K. Kim; W. Sangthongngam; M. Huerta; S. Imani; H. Kim; D. Kim,"SeeDevice Inc., Orange, United States of America; SeeDevice Inc., Orange, United States of America; SeeDevice Inc., Orange, United States of America; SeeDevice Inc., Orange, United States of America; SeeDevice Inc., Orange, United States of America; OCSA, Santa Ana, United States of America",2024 IEEE Opto-Electronics and Communications Conference (OECC),1-May-25,2024,,,1,3,"Continuous noninvasive glucose monitoring is vital for diabetics to monitor their levels to make timely-decisions to avoid further health complications. This paper presents a noninvasive continuous glucose monitoring system based on the use of photoplethysmography (PPG) in combination with near-infrared (NIR) spectroscopy. The PPG signal captured when the LED emits light onto the user’s inserted fingertip is converted into glucose measurements alongside concurrently obtained measurements from two commercial glucometers (Accu-Chek and SD CodeFree). The proposed system’s performance was validated by using linear regression methods to calculate the goodness-of-fit for the PPG measurements and glucose readings from the two glucometers. A goodness-of-fit (r2) of 0.7992 was achieved by comparing results from the continuous noninvasive glucose monitoring system and a traditional invasive glucometer (Accu-Chek) without the use of any additional machine learning and AI, demonstrating the system’s ability to quantify glucose and heart rate measurements.",2166-8892,979-8-3503-0839-6,10.1109/OECC54135.2024.10975586,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10975586,NIR;CGM;glucose;PPG;blood;QMOS,Continuous glucose monitoring;Spectroscopy;Linear regression;Machine learning;Photoplethysmography;Light emitting diodes;Glucose;Heart rate measurement;Diabetes;Monitoring,,,,9,IEEE,1-May-25,,,IEEE,IEEE Conferences
Comparison of Infrared and Red Photoplethysmography signals for Non-calibrated Non-invasive Blood Glucose Monitoring,S. N. Nampoothiri; R. K. Pathinarupothi; M. V. Ramesh; K. A. U. Menon,"Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham Amritapuri,Kollam,India; Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham Amritapuri,Kollam,India; Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham Amritapuri,Kollam,India; Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham Amritapuri,Kollam,India",2020 IEEE Region 10 Symposium (TENSYMP),2-Nov-20,2020,,,1568,1571,"Millions of people around the world are affected with diabetes and it is increasing day by day. Non invasive mode of glucose monitoring based on Near infrared (IR) spectroscopy using photoplethysmograph is a promising idea for frequent glucose monitoring and thereby decreasing the risk of diabetic complications. Present non invasive devices in the market are calibrated devices and are very costly. Also they have not looked at the diabetic correlation between IR and Red photoplethys-mography (PPG) signals. In this paper we have developed a glucose prediction algorithm for a non-calibrated non-invasive device that uses PPG signals for getting diabetic correlation. For this we studied the correlation of IR and Red signals with blood glucose and analysed its trend. We compared average amplitude as well as peak amplitude of IR and R signals using a dataset of 172 patients. Our results demonstrate that the current PPG device precision may not be able to pick up the minute variations in the amplitude caused by the change in blood glucose levels, and hence a more precise approach may be required.",2642-6102,978-1-7281-7366-5,10.1109/TENSYMP50017.2020.9230743,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9230743,Non-invasive glucose;health information management;Internet of Things;photoplethysmography;wearable sensors,Glucose;Blood;Market research;Monitoring;Feature extraction;Correlation;Diabetes,,5,,13,IEEE,2-Nov-20,,,IEEE,IEEE Conferences
Non-invasive blood glucose monitoring using near infrared spectroscopy,B. Gayathri; K. Sruthi; K. A. U. Menon,"Amrita Vishwa Vidyapeetham, Amrita University, India; Amrita Vishwa Vidyapeetham, Amrita University, India; Amrita Vishwa Vidyapeetham, Amrita University, India",2017 International Conference on Communication and Signal Processing (ICCSP),8-Feb-18,2017,,,1139,1142,"Diabetes has become a grave concern which can affect anyone irrespective of their age. To prevent the uneasiness of invasive glucose monitoring system, it is desirable to develop a low cost non-invasive blood glucose monitoring system. The present work proposes the feasibility of developing such a method for the continuous monitoring of blood glucose concentration using near infrared spectroscopy. Both linear regression and polynomial regression analysis are studied for developing an enhanced algorithm for estimation of glucose concentration using the scattering property of glucose molecules and the principle of photoplethysmography. Processing of data conversion is performed with MSP430G2553 microcontroller in the integrated development environment (IDE) of Code Composer Studio (CCS). Data analysis is carried out in MATLAB from which a relation between blood glucose concentration and photoplethysmograph is derived.",,978-1-5090-3800-8,10.1109/ICCSP.2017.8286555,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8286555,Photoplethysmography;non-invasive glucose monitoring;scattering;regression techniques,Sugar;Blood;Biomedical monitoring;Monitoring;Diabetes;Linear regression;Spectroscopy,,16,,10,IEEE,8-Feb-18,,,IEEE,IEEE Conferences
Non-invasive Blood Glucose Estimation Using Statistical Features Defined via Convex Combination of One Norm and Infinity Norm Optimization Problems,X. Ding; B. W. -K. Ling; C. Huang,"School of Info. Eng., G.D.U.T., Guangzhou, China; School of Info. Eng., G.D.U.T., Guangzhou, China; School of Info. Eng., G.D.U.T., Guangzhou, China",2022 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),12-Dec-22,2022,,,1,4,"In the past few decades, due to the increasing emphasis on health, blood glucose, a healthy reference value, has received more and more attention. Traditional invasive blood glucose testing methods require pricking a finger to take a drop of blood, and measuring blood glucose levels based on how the device reacts with the blood. Due to various shortcomings of traditional methods, and the semi-invasive or minimally invasive blood glucose monitoring systems that have been marketed in many countries and regions have high costs and some usage limitations, a new type of easy-to-use non-invasive blood glucose detection and prediction system is rapidly developing. This paper introduces a wearable non-invasive blood glucose detection device using near-infrared technology and its data processing technology, which includes extracting features from the obtained signals and using machine learning methods for blood glucose level prediction, and novel use of the solution The optimization problem of different norm values is used to obtain new statistical features to further improve the accuracy of non-invasive blood glucose prediction.",2831-3410,979-8-3503-3248-3,10.1109/ISPCE-ASIA57917.2022.9970814,"National Nature Science Foundation of China(grant numbers:U1701266,61671163,62071128); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9970814,Noninvasive glucose monitoring;optimization;machine learning,Minimally invasive surgery;Estimation;Feature extraction;Glucose;Diabetes;Biomedical monitoring;Blood,,,,8,IEEE,12-Dec-22,,,IEEE,IEEE Conferences
Non-invasive Glucose Level Monitoring from PPG using a Hybrid CNN-GRU Deep Learning Network,A. Y. Soliman; A. M. Nor; O. Fratu; S. Halunga; O. A. Omer; A. S. Mubark,"Electrical Engineering Department, Faculty of Engineering, Aswan University, Aswan, Egypt; Telecommunication Department, National University of Science and Technology POLITEHNICA Bucharest, Bucharest, Romania; Telecommunication Department, National University of Science and Technology POLITEHNICA Bucharest, Bucharest, Romania; Telecommunication Department, National University of Science and Technology POLITEHNICA Bucharest, Bucharest, Romania; Electrical Engineering Department, Faculty of Engineering, Aswan University, Aswan, Egypt; Electrical Engineering Department, Faculty of Engineering, Aswan University, Aswan, Egypt",2024 Advanced Topics on Measurement and Simulation (ATOMS),19-Mar-25,2024,,,299,302,"Every year, humanity loses about 1.5 million persons due to diabetic disease. Therefore continuous monitoring of diabetes is highly needed, but the conventional approach, i.e., fingertip pricking, causes mental and physical pain to the patient. This work introduces painless and cheaper non-invasive blood glucose level monitoring, Exploiting the advancement and huge progress in deep learning to develop a hybrid convolution neural network (CNN) - gate recurrent unit (GRU) network to hit the targeted system, The proposed system deploys CNN for extracting spatial patterns in the photoplethysmogram (PPG) signal and GRU is used for detecting the temporal patterns. The performance of the proposed system achieves a Mean Absolute Error (MAE) of 2.96 mg/dL, a mean square error (MSE) of 15.53 mg/dL, a root mean square Error (RMSE) of 3.94 mg/dL, and a coefficient of determination (R2 score) of 0.97 on the test dataset. According to the Clarke Error Grid analysis, 100% of points fall within the clinically acceptable zone (Class A).",,979-8-3503-5837-7,10.1109/ATOMS60779.2024.10921552,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10921552,Photoplethysmogram;PPG;blood glucose level;BGL;non-invasive;Diabetes;random sugar level;CNN;GRU;RNN;Deep Learning,Deep learning;Recurrent neural networks;Convolution;Glucose;Diabetes;Convolutional neural networks;Reliability;Root mean square;Monitoring;Blood,,,,11,IEEE,19-Mar-25,,,IEEE,IEEE Conferences
Non-Invasive Blood Glucose Estimation Based on Machine Learning Algorithms Using PPG Signals,S. Satter; T. -H. Kwon; K. -D. Kim,"Department of Electronics Engineering, Kookmin University, Seoul, Korea; Department of Electronics Engineering, Kookmin University, Seoul, Korea; Department of Electronics Engineering, Kookmin University, Seoul, Korea",2024 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),20-Mar-24,2024,,,622,625,"Managing diabetes effectively requires accurate monitoring of blood glucose levels. Traditional invasive methods for such monitoring can be cumbersome and uncomfortable for patients. This study introduces a non-invasive approach to estimate blood glucose levels using photoplethysmography (PPG) data. It focuses on fasting blood glucose prediction using wrist PPG signals and explores various PPG-based features, including AC to DC ratio component of PPG signal and the ratio of different wavelength AC/DCs. The study highlights feature selection to improve model accuracy and efficiency by eliminating redundant features and addressing the challenges required to accurately capture glucose trends with PPG signals. Machine learning algorithms, including random forest, CatBoost, XGBoost, and LightGBM, were employed to analyze PPG signals and estimate the corresponding glucose levels. This non-invasive, continuous monitoring approach can significantly enhance diabetes management by reducing the need for frequent blood sampling, improving patient compliance, and providing real-time blood glucose level insights.",2831-6983,979-8-3503-4434-9,10.1109/ICAIIC60209.2024.10463200,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10463200,photoplethysmography;blood glucose;diabetes;machine learning,Wrist;Machine learning algorithms;Real-time systems;Glucose;Diabetes;Safety;Reliability,,2,,10,IEEE,20-Mar-24,,,IEEE,IEEE Conferences
Non-Invasive Blood Glucose Estimation Through Vascular Contraction Signal Analysis,C. Pomarin; T. Lakhonphon; S. Traisaeng; P. Jaroensin; S. Tantisatirapong; T. Chanwimalueang,"Dept. of Biomedical Engineering, Faculty of Engineering, Srinakharinwirot University, Nakhon Nayok, Thailand; Dept. of Biomedical Engineering, Faculty of Engineering, Srinakharinwirot University, Nakhon Nayok, Thailand; SWEET D International Company Limited, Bangkok, Thailand; SWEET D International Company Limited, Bangkok, Thailand; Dept. of Biomedical Engineering, Faculty of Engineering, Srinakharinwirot University, Nakhon Nayok, Thailand; Dept. of Biomedical Engineering, Faculty of Engineering, Srinakharinwirot University, Nakhon Nayok, Thailand","2025 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)",15-Apr-25,2025,,,612,616,"Diabetes is a critical health concern globally, as it impacts overall health and serves as a precursor to other conditions. Regular monitoring of blood glucose levels is essential for effective diabetes management. However, current glucose monitoring devices are invasive, leading to tissue damage, pain, and an increased risk of infection. This paper presents a continued study on the development of a non-invasive blood glucose estimation system. Using transmitting light energy in the near-infrared wavelength and near-red wavelength to detect and record PPG signals using an ESP32 microcontroller with a MAX30102 sensor. The MAX30102 sensor can transmit and receive light in red (660 nm) and near-infrared (880 nm) and measure on the fingertip. PPG signals are then analyzed for their prominent features, revealing the relationship between blood glucose levels and the most prominent features, namely root mean square of successive differences (RMSSD) power in the high frequency range (PowHF) and ratio of low frequency range to high frequency range (LF/HF) of the red wavelength. Subsequently, these features were utilized using Multiple regression equations, with one and two variables. Each of 10 Subject participated experimental session lasts approximately 2 hours and 35 minutes. Finally, the best-performing model is the two-variable regression equation model for data from the second segment after signal filtering consisting of Glucose, RMSSD and PowHF of the red wavelength, achieving an accuracy of 89.86%.",2768-4644,979-8-3315-4327-3,10.1109/ECTIDAMTNCON64748.2025.10962123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962123,non-invasive blood glucose monitoring;blood glucose;photoplethysmogram;heart rate variability,Accuracy;Estimation;Feature extraction;Mathematical models;Data models;Glucose;Diabetes;High frequency;Blood;Monitoring,,,,17,IEEE,15-Apr-25,,,IEEE,IEEE Conferences
A 208μW PPG-based Glucose Monitoring SoC using Ensembled Boosted Trees,A. Hina; S. Minto; W. Saadeh,"Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan",2022 20th IEEE Interregional NEWCAS Conference (NEWCAS),5-Aug-22,2022,,,241,245,"A noninvasive glucose monitoring system-on-chip (SoC) based on near-infrared (NIR) Photoplethysmography (PPG) is proposed in this paper. The proposed SoC includes a PPG-readout circuit, and a glucose estimation processor (GPP). Six different temporal and spectral features are extracted from the PPG signal after motion artifact and baseline removal from the PPG signal. The GPP utilizes Ensembled Boosted Trees to predict blood glucose levels. The SoC is implemented in 180um CMOS and consumes 208μW with an area of 4.5mm2. It achieves a mean absolute relative difference (mARD) of 5.83% (mARD) verified on 200 subjects. This improves (accuracy/power) figure of merit (FoM) by 5.5% compared to the state-of-the-artwork.",,978-1-6654-0105-0,10.1109/NEWCAS52662.2022.9842163,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842163,Diabetes;non-invasive blood glucose monitoring;Ensembled Boosted trees;NIR Photoplethysmography (PPG),Support vector machines;Conferences;Estimation;Photoplethysmography;Feature extraction;Glucose;System-on-chip,,5,,29,IEEE,5-Aug-22,,,IEEE,IEEE Conferences
