"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Dai Y.; Ling B.W.-K.; Deng H.; Huang T.","Dai, Yuheng (58106268900); Ling, Bingo Wing-Kuen (57210406493); Deng, Haifeng (59093734500); Huang, Tianxiong (59004011900)","58106268900; 57210406493; 59093734500; 59004011900","Non-invasive blood glucose estimation based on fractional Fourier transform","2024","2024 4th International Conference on Neural Networks, Information and Communication Engineering, NNICE 2024","","","","1814","1817","3","0","10.1109/NNICE61279.2024.10498389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192553869&doi=10.1109%2fNNICE61279.2024.10498389&partnerID=40&md5=1a3f2d15dde11e98b40a896a373d8b3f","Diabetes is one of the popular chronic diseases in the world. The long term diabetes increases the risk of the stroke, the heart diseases, the kidney damage and the blindness. Therefore, the blood glucose estimation is crucial for the diabetic patients. The photoplethesmograms (PPGs) can be used for performing the non-invasive blood glucose estimation. In particular, the features were extracted from the PPG represented in both the time domain and the frequency domain. Nevertheless, the total number of the features was very limited. Hence, the performance of the blood glucose estimation was poor. To address this issue, this paper proposes to employ the fractional Fourier transform for extracting the features in the rotated time frequency domain. Since more than one rotational angle can be performed and a set of features can be extracted from each rotational angle, the total number of the features is significantly increased. The computer numerical simulations are conducted. Compared to the method only using the time domain features and the frequency domain features, it is found that the conventional method without the fractional Fourier transform domain features yields 77.2% of all the test data in the Zone A of the grid, respectively. On the other group, our proposed method with the fractional Fourier transform domain features yields 88.6% of all the test data in the Zone A of the grid, respectively. This demonstrates the superiority of our proposed method. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85192553869"
"Guarino G.; Strollo F.; Della Corte T.; Satta E.; Gentile S.","Guarino, Giuseppina (7004561702); Strollo, Felice (57657400700); Della Corte, Teresa (55542784600); Satta, Ersilia (6508184152); Gentile, Sandro (57220701139)","7004561702; 57657400700; 55542784600; 6508184152; 57220701139","Correction to: Effect of Neo-Policaptil Gel Retard on Liver Fat Content and Fibrosis in Adults with Metabolic Syndrome and Type 2 Diabetes: A Non-invasive Approach to MAFLD (Diabetes Therapy, (2023), 14, 12, (2089-2108), 10.1007/s13300-023-01478-2)","2024","Diabetes Therapy","15","6","","1485","1490","5","0","10.1007/s13300-024-01553-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190835757&doi=10.1007%2fs13300-024-01553-2&partnerID=40&md5=23673abe30c7e5181327858cf78829e5","In the section “NAFLD Fibrosis Score” the sentence starting from “NFS can be calculated using the following formula…” has been revised as “NFS can be calculated using the following formula: NAFLD fibrosis score = −1.675 + 0.037 × age (year) + 0.094 × BMI (kg/m2 ) + 1.13 × IFG/diabetes (yes = 1, no = 0) + 0.99 × AST/ALT ratio - 0.013 × platelet count (×109 /L) − 0.66 × albumin (g/dL)…” There were a few errors in the “Interpretation” section. The corrected section is given below: In the “Results” section, the sentence starting from “The prevalence of extreme scores stayed almost unchanged only in the CG…” had an error with the NFS value of the low probability scores. This has been revised to “…low probability scores (NFS < −1.455)…” In the “Discussion” section, the sentence starting from “PGR improved fibrosis extent significantly not only in those with high scores…” was revised to “PGR improved fibrosis extent significantly not only in those with high scores (FIB-4 F3–F4 and NFS > 0.626) but also in less severe cases (F0–F2 and < -1.455, respectively).” In the original article, the word “Policaptil Gel Retard” has been revised as “Neo-Policaptil Gel Retard”. In the section “Inclusion Criteria”, the sentence begining from “No previous utilization” has been revised as “No previous utilization of lipid-lowering drugs against metabolic disorders”. In the “Fatty Liver Index” section, the sentence starting from “In NASH (non-alcoholic steatohepatitis)..” has been revised as “In NASH (non-alcoholic steatohepatitis): Fibrosis F0-F1 (FIB-4 < 1.30) Moderate fibrosis F2 (1.30 to 2.67) Cirrhosis F3-F4 (FIB-4 > 2.67)”. There were a few errors in Table 1. The correct Table 1 is given below: Table 1 Starting general features of the two treatment groups Control group (n. 123) Treatment group (n. 122) Age (Years) 72.2 ± 6.4 71.4 ± 5.4 ns Sex (M/F) 68/55 71/51 ns Diabetes duration (years) 7.2 ± 3.3 7.4 ± 4.1 ns BMI (kg/m2) 35.2 ± 4.4 36.1 ± 5.0 ns HbA1c (%) 8.0 ± 1.5 8.1 ± 1.3 ns FPG (mg/dl) 130.7 ± 15.4 131.0 ± 14.9 ns PPG (mg(dl) 188.1 ± 20.4 190.7 ± 14.3 ns Insulin (μIU/ml) 30.3 ± 4.5 30.9 ± 4.9 ns C-peptide (ng/ml) 2.1 ± 0.6 2.2 ± 0.3 ns HOMA-IR – 4.9 ± 0.4 4.9 ± 0.7 ns AST (IU/l) 68.5 ± 6.9 70.3 ± 5.8 ns ALT (IU/l) 69.6 ± 8.3 71.2 ± 8.4 ns γ-GT (IU/l) 69.4 ± 4.9 66.5 ± 7.8 ns ALP (IU/l) 189.5 ± 14.4 190.8 ± 14.6 ns Total Bilirubin (mg/dl) 0.8 ± 0.4 0.8 ± 0.2 ns Total cholesterol (mg/dl) 199.7 ± 18.8 195.8 ± 19.7 ns HDL cholesterol (mg/dl) 43.1 ± 4.5 44.7 ± 3.8 ns Triglyceride (mg/dl) 199.7 ± 22.8 197.7 ± 26.5 ns LDL cholesterol (mg/dl) 137.5 ± 8.7 143.5 ± 9.7 ns Red blood cells (× 106/μl) 4.6 ± 0.9 4.7 ± 0.8 ns White blood cells (× 103/μl) 8.6 ± 1.5 8.8 ± 1.7 ns Platelet count (n/μl) 162,000 ± 15,000 168,000 ± 20,000 ns Albumin (g/dl) 3.8 ± 0.4 3.9 ± 0.5 ns Uric Acid (mg/dl) 7.02 ± 1.2 7.4 ± 0.9 ns eGFR (ml/min/1.73m2) 82.9 ± 7.2 91.1 ± 8.3 ns Waist circumference 121.5 ± 4.7 120.8 ± 6.2 ns Trunk fat (%) 48.5 ± 4.4 47.8 ± 5.7 ns Visceral fat (%) 24.6 ± 5.4 25.2 ± 6.1 ns FLI < 30 (no steatosis) n. (%) 2 (1.62) 2 (1.63) ns > 60 (steatosis) n. (%) 116 (94.31) 116 (95.08) 31–59 (inconclusive) n. (%) 5 (4.07) 4 (3.29) ns ns FIB-4 F0–F1 < 1.30 n. (%) 12 (9.75) 11 (9.01) ns F3–F4 > 2.67 n. (%) 104 (84.56) 102 (83.62) F2 n. (%) 7 (5.69) 9 (7.37) ns ns NFS < −1.455 n. (%) 8 (6.50) 8 (6.56) ns > 0.676 n. (%) 111 (90.25) 110 (90.17) ns Inconclusive n. (%) 4 (3.25) 4 (3.27) ns Chronic diabetes complications/comorbidities (one or more) Cardio-vascular disease n. (%) 77 (62.82) 75 (61.56) ns Hypertension n. (%) 95 (77.54) 89 (73.77) ns Kidney disease n. (%) 22 (18.31) 20 (16.71) ns Retinopathy n. (%) 34 (27.93) 37 (30.44) ns Neuropathy n. (%) 36 (29.54) 30 (25.38) ns Foot ulcer/amputation n. (%) 4 (3.13) 3 (2.32) ns Previous stroke n. (%) 8 (6.37) 9 (7.28) ns Hypercholesterolemia n. (%) 63 (51.07) 67 (55.23) ns ALP alkaline phosphatase, ALT alanine transferase, AST aspartate transferase, BMI body mass index, eGFR estimated glomerular filtration rate, FIB-4 Fibrosis (FIB)-4 Score, FLI Fatty Liver Index, FPG fasting plasma glucose, γ-GT gamma-glutamyl transferase, HbA1c hemoglobin A1C, HOMA-IR homeostatic model assessment for insulin resistance, LDL low-density lipoprotein, NFS NAFLD (non-alcoholic fatty liver disease) Fibrosis Score, PPG postprandial glycemia There was an error in Table 2. The correct Table 2 is given below: Table 2 Treatment side effects in the two groups Nausea Diarrhea Vomiting Abdominal pain Decreased appetite Indigestion and fatigue Control group (%) 2 1 2 3 2 2 Treatment group (%) 3 1 2 1 8 3 p n.s n.s n.s n.s < 0.001 n.s In this article there is error in Fig. 3 as below. (Figure presented.) The correct Fig. 3 is shown below. (Figure presented.) There is an error in Fig. 4 and Fig. 4 legend as below. (Figure presented.) The correct Fig. 4 and Fig.4 legend shown as below. (Figure presented.) Comparison of FIB-4 in subjects without or with light fibrosis (FIB-4 < 1.30; F0-F1), severe fibrosis (FIB-4 > 2.67; F3-F4), and moderate diagnosis (FIB-4 between 1.31 and 2.66; F2) between baseline and end of follow-up. **p < 0.001 vs. baseline and CG. FIB-4 Fibrosis (FIB)-4 Score, CG control group There is an error in Fig. 5 and Fig. 5 legend as below. (Figure presented.) The correct Fig. 5 and Fig. 5 legend is shown below. (Figure presented.) Comparison of percentages of subjects with (NFS > 0.676) and without (NFS < −1.455) advanced liver fibrosis, or inconclusive results (NFS −1.455 to 0.676), between baseline and the end of follow-up; *p < 0.001 vs. baseline; #p < 0.001 vs. the other group. NFS NAFLD (non-alcoholic fatty liver disease) Fibrosis Score There is an error in Fig. 6 as below. (Figure presented.) The correct Fig. 6 is shown as below. (Figure presented.) The original article has been corrected. © The Author(s) 2024.","Erratum","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85190835757"
"Reguig M.A.B.; Labdelli N.","Reguig, Mohammed Anes Bereksi (59242081400); Labdelli, Nassima (57193159998)","59242081400; 57193159998","Blood glucose prediction using non-invasive optical system based on photoplethysmography","2024","International Journal of Electrical and Computer Engineering","14","5","","5200","5208","8","0","10.11591/ijece.v14i5.pp5200-5208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201043433&doi=10.11591%2fijece.v14i5.pp5200-5208&partnerID=40&md5=2ceba2f24611067f3c1c7cd82d810281","Several people must frequently evaluate their blood glucose since it is an important indicator of health problems mainly diabetes. Different medical systems are commercialized to measure blood glucose levels; some are invasive others are noninvasive. The main purpose of this article is to develop a non-invasive device for measuring blood glucose levels based on the detection and analysis of the photoplethysmogram signal. The developed systems include an optical sensor to detect the photoplethysmography (PPG) signal, digitalizing and acquiring boards to a computer and a software program to process and analyze the digitalized PPG signal regarding some features extracted from its waveform. These features are the systolic amplitude Sa and the b/a amplitude ratio in the second derivative PPG (SDPPG) waveform. An invasive glucometer is also used along with the Sa and b/a ratio determined from the developed system to generate a calibration model which is used to deduce blood glucose level (BGL) values. The result showed that the calibration model using the b/a ratio is more accurate for non-invasive blood level measurement then that of Sa with a difference in glucose estimation around 2 mg/dl and with the correlation coefficient (R2) of the glucose level prediction between 0.8904 and 0.9775. © 2024 Institute of Advanced Engineering and Science. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201043433"
"Bogusz-Górna K.; Polańska A.; Dańczak-Pazdrowska A.; Żaba R.; Sumińska M.; Fichna P.; Kędzia A.","Bogusz-Górna, Klaudia (57217355282); Polańska, Adriana (36773629600); Dańczak-Pazdrowska, Aleksandra (8424308400); Żaba, Ryszard (7003305519); Sumińska, Marta (57189633860); Fichna, Piotr (6602929565); Kędzia, Andrzej (12760289600)","57217355282; 36773629600; 8424308400; 7003305519; 57189633860; 6602929565; 12760289600","Non-invasive detection of early microvascular changes in juveniles with type 1 diabetes","2023","Cardiovascular Diabetology","22","1","285","","","","6","10.1186/s12933-023-02031-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174616629&doi=10.1186%2fs12933-023-02031-y&partnerID=40&md5=82479300d988703d878a91dca27fd6bc","Aims/Hypothesis: The study aimed to assess the usefulness of capillaroscopy and photoplethysmography in the search for early vascular anomalies in children with type 1 diabetes. Methods: One hundred sixty children and adolescents aged 6–18, 125 patients with type 1 diabetes, and 35 healthy volunteers were enrolled in the study. We performed a detailed clinical evaluation, anthropometric measurements, nailfold capillaroscopy, and photoplethysmography. Results: Patients with diabetes had more often abnormal morphology in capillaroscopy (68.60%, p = 0.019), enlarged capillaries (32.6%, p = 0.006), and more often more over five meandering capillaries (20.90%, p = 0.026) compared to healthy controls. Meandering capillaries correlated with higher parameters of nutritional status. In a photoplethysmography, patients with diagnosed neuropathy had a higher percentage of flow disturbance curves (p < 0.001) with a reduced frequency of normal curves (p = 0.050). Conclusions: Capillaroscopic and photoplethysmographic examinations are non-invasive, painless, fast, and inexpensive. They are devoid of side effects, and there are no limitations in the frequency of their use and repetition. The usefulness of capillaroscopy and photoplethysmography in the study of microcirculation in diabetic patients indicates the vast application possibilities of these methods in clinical practice. © 2023, BioMed Central Ltd., part of Springer Nature.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174616629"
"Zhang J.; Huang X.; Chen Q.","Zhang, Jiawen (57189468452); Huang, Xiaoyan (55264255400); Chen, Qian (58892479800)","57189468452; 55264255400; 58892479800","Blood Glucose Monitoring Using Non-Invasive Features of Wearable Devices and Machine Learning","2024","ACM International Conference Proceeding Series","","","","409","413","4","0","10.1145/3654823.3654897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203802839&doi=10.1145%2f3654823.3654897&partnerID=40&md5=f4df59ba6eb02a996499e3624fec6f11","With the increasing number of people with diabetes and the popularity of wearable devices, it becomes a novel research direction to use sensor data from wearable devices to monitor blood glucose in healthy people. There are many methods used for blood glucose prediction, such as using NIR and PPG for accurate blood glucose prediction, however, these data are usually not easy to acquire, and using data from wearable devices may be a potential direction. In this paper, two methods were proposed using the latest dataset released by Physiconet in 2023, 1-D CNN and tsfresh, for feature extraction of sensor data, and then construct a GRU network to predict blood glucose values, comparing the effectiveness of the two methods. Besides, the effects of different sensor features on the prediction results are explored. The study shows that the features extracted by tsfresh can follow the trend of blood glucose changes well, but it is still far from predicting specific blood glucose value. A larger dataset is needed to make a conclusion on the feasibility of the study.  © 2024 ACM.","Conference paper","Final","","Scopus","2-s2.0-85203802839"
"Chen S.; Qin F.; Ma X.; Wei J.; Zhang Y.-T.; Zhang Y.; Jovanov E.","Chen, Shisen (58085510400); Qin, Fen (58085320100); Ma, Xuesheng (56599342700); Wei, Jie (58836499000); Zhang, Yuan-Ting (59069557000); Zhang, Yuan (57216699404); Jovanov, Emil (6603887656)","58085510400; 58085320100; 56599342700; 58836499000; 59069557000; 57216699404; 6603887656","Multi-View Cross-Fusion Transformer Based on Kinetic Features for Non-Invasive Blood Glucose Measurement Using PPG Signal","2024","IEEE Journal of Biomedical and Health Informatics","28","4","","1982","1992","10","10","10.1109/JBHI.2024.3351867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182366890&doi=10.1109%2fJBHI.2024.3351867&partnerID=40&md5=d77f4715d4bbb32886b1c267efdc998c","Noninvasive blood glucose (BG) measurement could significantly improve the prevention and management of diabetes. In this paper, we present a robust novel paradigm based on analyzing photoplethysmogram (PPG) signals. The method includes signal pre-processing optimization and a multi-view cross-fusion transformer (MvCFT) network for non-invasive BG assessment. Specifically, a multi-size weighted fitting (MSWF) time-domain filtering algorithm is proposed to optimally preserve the most authentic morphological features of the original signals. Meanwhile, the spatial position encoding-based kinetics features are reconstructed and embedded as prior knowledge to discern the implicit physiological patterns. In addition, a cross-view feature fusion (CVFF) module is designed to incorporate pairwise mutual information among different views to adequately capture the potential complementary features in physiological sequences. Finally, the subject-wise 5-fold cross-validation is performed on a clinical dataset of 260 subjects. The root mean square error (RMSE) and mean absolute error (MAE) of BG measurements are 1.129 mmol/L and 0.659 mmol/L, respectively, and the optimal Zone A in the Clark error grid, representing none clinical risk, is 87.89%. The results indicate that the proposed method has great potential for homecare applications.  © 2013 IEEE.","Article","Final","","Scopus","2-s2.0-85182366890"
"Stansby G.; Sims A.J.; Wilson L.; Beale T.A.W.; Wightman J.; Guri I.; Wilkes S.; Haining S.; Allen J.","Stansby, Gerard (7004963829); Sims, Andrew J. (7102763253); Wilson, Lesley (56420425600); Beale, Tom A W (57200676802); Wightman, James (57200678879); Guri, Ina (57219122338); Wilkes, Scott (15137298200); Haining, Shona (8554985700); Allen, John (7406422594)","7004963829; 7102763253; 56420425600; 57200676802; 57200678879; 57219122338; 15137298200; 8554985700; 7406422594","Prospective Assessment of the Diagnostic Accuracy of Multi-site Photoplethysmography Pulse Measurements for Diagnosis of Peripheral Artery Disease in Primary Care","2023","Angiology","74","9","","859","867","8","3","10.1177/00033197221121614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136471886&doi=10.1177%2f00033197221121614&partnerID=40&md5=de1fb2c4acae1a9740ce5889d5729a6b","Peripheral arterial disease (PAD) is associated with cerebral and coronary artery disease. Symptomatic PAD affects about 5% of people over 55 years; many more have asymptomatic PAD. Early detection enables modification of arterial disease risk factors. Diagnostically, assessment of symptoms or signs can be unreliable; ankle brachial pressure index (ABPI) testing is time-consuming and few healthcare professionals are properly trained. This study assessed the diagnostic accuracy of multi-site photoplethysmography (MPPG), an alternative non-invasive test for PAD, in primary care. PAD patients identified from general practice registers were age- and sex-matched with controls. Participants were assessed using MPPG, ABPI and duplex ultrasound (DUS). Outcome measures were sensitivity and specificity of MPPG and ABPI (relative to DUS) and concordance. MPPG test results were available in 249 of 298 eligible participants from 16 practices between May 2015 and November 2016. DUS detected PAD in 101/249 (40.6%). MPPG sensitivity was 79.8% (95% confidence interval [CI] 69.9–87.6%), with specificity 71.9% (95% CI 63.7–79.2%). ABPI sensitivity was 80.2% (95% CI 70.8–87.6%), with specificity 88.6% (95% CI 82–93.5%). With comparable sensitivity to ABPI, MPPG is quick, automated and simpler to do than ABPI; it offers the potential for rapid and accessible PAD assessments in primary care. © The Author(s) 2022.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85136471886"
"Chinchanikar A.K.; Dale M.P.","Chinchanikar, Asawari Kedar (58929427200); Dale, Manisha P. (16400873000)","58929427200; 16400873000","Analyzing RGB and HSV Color Spaces for Non-Invasive Blood Glucose Level Estimation Using Fingertip Imaging","2025","International Journal of Advanced Computer Science and Applications","16","4","","173","185","12","0","10.14569/IJACSA.2025.0160419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004052917&doi=10.14569%2fIJACSA.2025.0160419&partnerID=40&md5=a24cbc913fb1f7d88521bb0209e908dd","Traditional blood glucose measurement methods, including finger-prick tests and intravenous sampling, are invasive and can cause discomfort, leading to reduced adherence and stress. Non-invasive BGL estimation addresses these issues effectively. The proposed study focuses on estimating blood glucose levels (BGL) using “Red-Green-Blue (RGB)” and “Hue-Saturation-Value (HSV) color spaces” by analyzing fingertip videos captured with a smartphone camera. The goal is to enhance BGL prediction accuracy through accessible, portable devices, using a novel fingertip video database from 234 subjects. Videos recorded in the “RGB color space” using a smartphone camera were converted into the “HSV color space”. The “R channel” from “RGB” and the “Hue channel” from “HSV” were used to generate photoplethysmography (PPG) waves, and additional features like age, gender, and BMI were included to improve predictive accuracy. To enhance the precision of blood glucose estimation, the Genetic Algorithm (GA) was used to identify the most significant and optimal features from the large set of features. The “XGBoost”, “CatBoost”, “Random Forest Regression (RFR)”, and “Gradient Boosting Regression (GBR)” algorithms were applied for blood glucose level (BGL) prediction. Among them, “XGBoost” yielded the best results, with an R2 value of 0.89 in the “RGB color space” and 0.84 in the “HSV color space”, showcasing its superior predictive ability. The experimental outcomes were assessed using “Clarke error grid analysis” and a “Bland-Altman plot”. The Bland-Altman analysis showed that only 7.04% of the BGL values fell outside the limits of agreement (±1.96 SD), demonstrating strong agreement with reference values. © (2025), (Science and Information Organization). All Rights Reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105004052917"
"Kwon T.-H.; Hossain S.; Turja M.S.; Kim K.-D.","Kwon, Tae-Ho (57191905374); Hossain, Shifat (36910252400); Turja, Mrinmoy Sarker (58174513600); Kim, Ki-Doo (26221772100)","57191905374; 36910252400; 58174513600; 26221772100","Design and Validation of a Monte Carlo Method for the Implementation of Noninvasive Wearable Devices for HbA1c Estimation Considering the Skin Effect","2024","Micromachines","15","9","1067","","","","0","10.3390/mi15091067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205070748&doi=10.3390%2fmi15091067&partnerID=40&md5=910cafb3bb9c785fc89253d6b744b7fe","To diagnose diabetes early or to maintain stable blood glucose levels in diabetics, blood glucose levels should be frequently checked. However, the only way to check blood glucose levels regularly is to use invasive methods, such as pricking the fingertip or using a minimally invasive patch. These invasive methods pose several problems, including being painful and potentially causing secondary infections. This study focuses on noninvasively measuring glycated hemoglobin (HbA1c) using PPG signals. In particular, the study relates to a method and a hardware design technology for removing noise that may be present in a PPG signal due to skin contact with a noninvasive HbA1c measurement device. The proposed HbA1c measurement device consists of the first sensor (PPG sensor) module including an optical barrier and the second sensor (cylindrical sensor) module for removing the skin effect. We have developed a Monte Carlo method to implement accurate, noninvasive HbA1c measurement by considering different skin properties among different subjects. Implementing this model in wearable devices will allow end users to not only monitor their glycated hemoglobin levels but also control diabetes with higher accuracy without needing any blood samples. This will be a groundbreaking advancement in modern wearable medical devices. © 2024 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85205070748"
"Shaik R.; Siddique I.","Shaik, Reehana (59509705100); Siddique, Ibrahim (57216902835)","59509705100; 57216902835","NOVEL MULTI-MODAL OBSTRUCTION MODULE FOR DIABETES MELLITUS CLASSIFICATION USING EXPLAINABLE MACHINE LEARNING","2024","Applied Computer Science","20","4","","39","62","23","0","10.35784/acs-2024-39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214667836&doi=10.35784%2facs-2024-39&partnerID=40&md5=5e18d665b102e214406f9ef933148e78","Diabetes Mellitus (DM) is a persistent metabolic disorder which is characterized by increased blood glucose level in the blood stream. Initially, DM occurs while the insulin secretion in the pancreas has a disability to secrete or to use hormone for the metabolic process. Moreover, there are different types of DM depending on the physiological process, and the types include Type1 DM, Type2 DM and Gestational DM. Electrocardiography (ECG) waves are used to detect the abnormal heartbeats and cannot directly detect DM, but the wave abnormality can indicate the possibility and presence of DM. Whereas the Photoplethysmography (PPG) signals are a non-invasive method used to detect changes in blood volume that can monitor BG changes. Furthermore, the detection and classification of DM using PPG and ECG can involve analyzing the functional performance of these modalities. By extracting the features like R wave (W1) and QRS complex (W2) in the ECG signals and Pulse Width (S1) and Pulse Amplitude Variation (S2) can detect DM and can be classified into DM and NonDM. The authors propose a Novel architecture in the basis of Encoder Decoder structure named as Obstructive Encoder Decoder module. This module extracts the specific features and the proposed novel Obstructive Erasing Module remove the remaining artifacts and then the extracted features are fed into the Multi-Uni-Net for the fusion of the two modalities and the fused image is classified using EXplainable Machine Learning (EX-ML). From this classification the performance metrics like Accuracy, Precision, Recall, F1-Score and AUC can be determined. © 2024, Polish Association for Knowledge Promotion. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85214667836"
